Country Name,Country Code,Series,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.69522,3.2558,4.22836,4.05887,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,86.7296,83.50442,82.55836,82.08028,82.85025,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.69825,0.68081,0.67937,0.67617,0.66691,..,..,..,..,..
Afghanistan,AFG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,3.43797,3.96209,3.61172,..,..,..,..,..,..
Albania,ALB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,106.12752,107.29018,107.53385,108.87005,109.11123,106.44361,..,..,..,..
Albania,ALB,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.03682,1.0313,1.03555,1.03224,1.03765,1.02963,..,..,..,..
Albania,ALB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,4527,3929,3988,3628,4085,3359,..,..,..,..
Algeria,DZA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,115.46546,112.99054,110.83654,108.89749,107.30229,104.85988,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.95096,0.9523,0.94972,0.95093,0.95499,0.95585,..,..,..,..
Algeria,DZA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,23175,26224,19722,14211,16430,..,..,..,..
American Samoa,ASM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.07421,3.28035,3.23707,3.21709,3.24672,3.15162,..,..,..,..
Andorra,AND,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,105.88815,..,..,..,..,..,..,..,..
Angola,AGO,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,0.87413,..,..,..,..,..,..,..,..
Angola,AGO,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,103.29183,103.16389,..,102.82641,104.59891,..,..,..,..,..
Antigua and Barbuda,ATG,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.94992,0.96619,..,0.98406,0.99208,..,..,..,..,..
Antigua and Barbuda,ATG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,534,117,..,235,66,..,..,..,..,..
Arab World,ARB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,92.77944,92.52657,92.39304,92.61421,92.84049,93.07939,..,..,..,..
Arab World,ARB,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.93668,0.94095,0.94133,0.94452,0.94617,0.94882,..,..,..,..
